,Image,Latitude,Longitude
0,DJI_0017,31.02603081,-97.2413255
1,DJI_0077,29.23236536,-97.09093183
2,DJI_0176,29.17829725,-97.05553425
3,DJI_0365,36.18729311,-81.24617392
4,DJI_0389,30.28395414,-96.03258025
5,DJI_0413,36.24629525,-81.24496103
6,DJI_0479,30.35724558,-96.19526447
7,DJI_0507,36.4474495,-81.61573097
8,DJI_0516,36.44811097,-81.61594853
9,DJI_0588,36.44813311,-81.61608056
10,DJI_0651,36.11084575,-84.13835892
11,DJI_0652,36.11084686,-84.13835783
12,DJI_0685,36.06464006,-84.23007667
13,DJI_0722,36.07001483,-84.14553011
14,DJI_0758,36.070192,-84.14580111
15,DJI_0781,36.07017539,-84.14612014
